audit_rank,source_index,label,clean_prediction,clean_correct,clean_margin,horizon_steps,input_count,unique_candidates,event_weighted_candidates,class_change_rate,adverse_rate,corrective_rate,lateral_rate,class_changed_unique,adverse_unique,corrective_unique,lateral_unique,minimum_clean_class_margin,minimum_true_class_margin,distinct_candidate_classes,previous_candidates,previous_class_change_rate,previous_adverse_rate,next_candidates,next_class_change_rate,next_adverse_rate,previous_minus_next_class_change_rate,time_tertile_1_class_change_rate,time_tertile_2_class_change_rate,time_tertile_3_class_change_rate,feature_quartile_1_class_change_rate,feature_quartile_2_class_change_rate,feature_quartile_3_class_change_rate,feature_quartile_4_class_change_rate,paired_neither_changed,paired_next_only_changed,paired_previous_only_changed,paired_both_changed,paired_direction_discordance
0,7043,22,22,1,18.18608856201172,199,6469,6489,12933,0.0,0.0,0.0,0.0,0,0,0,0,13.341800689697266,13.341800689697266,1,3244,0.0,0.0,3245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3242,0,0,0,0.0
1,4284,12,12,1,5.544086456298828,199,6284,5653,12565,0.0019458694498496374,0.0019458694498496374,0.0,0.0,11,11,0,0,-1.0221080780029297,-1.0221080780029297,2,2826,0.0031847133757961785,0.0031847133757961785,2827,0.0007074637424831977,0.0007074637424831977,0.002477249633312981,0.0012091898428053204,0.002840909090909091,0.011799410029498525,0.0,0.0028708133971291866,0.002810304449648712,0.0009103322712790169,2814,2,9,0,0.00247787610619469
2,9407,32,32,1,15.144571304321289,199,9526,8061,19049,0.0,0.0,0.0,0.0,0,0,0,0,10.93098258972168,10.93098258972168,1,4030,0.0,0.0,4031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4029,0,0,0,0.0
3,5264,14,14,1,0.791987419128418,148,4671,4793,9337,0.07698727310661381,0.07698727310661381,0.0,0.0,369,369,0,0,-3.6341962814331055,-3.6341962814331055,2,2396,0.07679465776293823,0.07679465776293823,2397,0.07717980809345015,0.07717980809345015,-0.00038515033051192415,0.08902077151335312,0.07014388489208633,0.09375,0.04591836734693878,0.061386138613861385,0.07417397167902899,0.08394020697585282,2040,170,169,15,-0.0004177109440267335
4,7289,23,23,1,4.188239097595215,199,9429,7984,18850,0.0,0.0,0.0,0.0,0,0,0,0,0.1484508514404297,0.1484508514404297,1,3990,0.0,0.0,3994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3988,0,0,0,0.0
5,7340,23,23,1,2.917844772338867,199,10263,8868,20522,0.022327469553450607,0.022327469553450607,0.0,0.0,198,198,0,0,-3.523130416870117,-3.523130416870117,2,4433,0.023685991427926913,0.023685991427926913,4435,0.0209695603156708,0.0209695603156708,0.0027164311122561124,0.03049095607235142,0.018689859363434494,0.02485284499672989,0.02952029520295203,0.02576112412177986,0.022712731925783748,0.021009313406974227,4235,92,104,1,0.002707581227436823
6,314,0,0,1,28.56808853149414,200,8918,8553,17831,0.0,0.0,0.0,0.0,0,0,0,0,22.731508255004883,22.731508255004883,1,4276,0.0,0.0,4277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4274,0,0,0,0.0
7,8998,30,0,0,0.5855522155761719,200,8599,7104,17194,0.8324887387387387,0.0,0.0,0.8324887387387387,5914,0,0,5914,-4.0377092361450195,-6.63932466506958,2,3551,0.8389186144747959,0.0,3553,0.8260624824092316,0.0,0.01285613206556424,0.9336258913878223,0.7820669934640523,0.9948051948051948,0.9607142857142857,0.8585164835164835,0.8509293680297397,0.8018203170874927,262,310,356,2622,0.012957746478873239
8,3424,9,9,1,19.724918365478516,200,11190,9967,22275,0.0,0.0,0.0,0.0,0,0,0,0,15.55028247833252,15.55028247833252,1,4980,0.0,0.0,4987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4966,0,0,0,0.0
9,1755,4,4,1,16.146934509277344,200,7808,7115,15610,0.0,0.0,0.0,0.0,0,0,0,0,13.089492797851562,13.089492797851562,1,3558,0.0,0.0,3557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3555,0,0,0,0.0
10,1627,4,4,1,9.019545555114746,199,8193,6941,16383,0.00014407145944388418,0.00014407145944388418,0.0,0.0,1,1,0,0,-0.1269216537475586,-0.1269216537475586,2,3471,0.0,0.0,3470,0.00028818443804034583,0.00028818443804034583,-0.00028818443804034583,0.0006600660066006601,0.0,0.0,0.0,0.0,0.0004210526315789474,0.0,3468,1,0,0,-0.0002882675122513693
11,1986,5,5,1,12.258159637451172,200,8765,8566,17526,0.0,0.0,0.0,0.0,0,0,0,0,9.984439849853516,9.984439849853516,1,4282,0.0,0.0,4284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4281,0,0,0,0.0
12,4959,14,14,1,9.59066390991211,200,8853,7958,17679,0.0,0.0,0.0,0.0,0,0,0,0,5.089044570922852,5.089044570922852,1,3974,0.0,0.0,3984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3972,0,0,0,0.0
13,8189,26,27,0,0.11440467834472656,199,5121,6178,10236,0.5738102945937197,0.0,0.5738102945937197,0.0,3545,0,3545,0,-4.42310905456543,-2.901052474975586,2,3089,0.5768857235351247,0.0,3089,0.5707348656523147,0.0,0.006150857882810001,0.5348837209302325,0.5723377174374205,0.5942432683379758,0.5364963503649635,0.5843724023275145,0.5894251242015613,0.5491237387148168,597,709,729,1051,0.0064808813998703824
14,6316,19,19,1,10.364604949951172,199,7362,7188,14720,0.0,0.0,0.0,0.0,0,0,0,0,1.3060407638549805,1.3060407638549805,1,3593,0.0,0.0,3595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3592,0,0,0,0.0
15,8134,26,21,0,0.3157920837402344,147,5966,5197,11927,0.4594958629978834,0.0,0.06215124110063498,0.3973446218972484,2388,0,323,2065,-2.89805269241333,-2.781102180480957,5,2598,0.4603541185527329,0.0,2599,0.458637937668334,0.0,0.001716180884398899,0.5457875457875457,0.44577942082563154,0.4719904648390942,0.5775862068965517,0.5,0.4520851818988465,0.4311034877072613,763,638,642,553,0.0015408320493066256
16,7419,24,5,0,3.2653398513793945,200,10609,8310,21214,0.0,0.0,0.0,0.0,0,0,0,0,0.6354904174804688,-5.026786804199219,1,4155,0.0,0.0,4155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4153,0,0,0,0.0
17,813,2,8,0,1.6851005554199219,199,10853,8267,21701,0.219426636022741,0.0,0.017539615338091206,0.2018870206846498,1814,0,145,1669,-2.557260513305664,-4.51799201965332,3,4132,0.21999031945788963,0.0,4135,0.218863361547763,0.0,0.0011269579101266247,0.2053763440860215,0.2074468085106383,0.22731745719346585,0.3184931506849315,0.2972665148063781,0.22488816592110614,0.1955584303579129,2561,661,667,242,0.0014524328249818446
18,2554,7,7,1,34.02356719970703,200,11224,8818,22436,0.0,0.0,0.0,0.0,0,0,0,0,30.07992935180664,30.07992935180664,1,4405,0.0,0.0,4413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4403,0,0,0,0.0
19,914,2,8,0,9.255582809448242,200,6967,5290,13932,0.0,0.0,0.0,0.0,0,0,0,0,4.598275184631348,-11.379406929016113,1,2645,0.0,0.0,2645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2644,0,0,0,0.0
20,4499,12,12,1,8.241519927978516,200,8754,8058,17492,0.0,0.0,0.0,0.0,0,0,0,0,3.5083913803100586,3.5083913803100586,1,4026,0.0,0.0,4032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4024,0,0,0,0.0
21,5675,16,16,1,25.690040588378906,199,12347,11332,24686,0.0,0.0,0.0,0.0,0,0,0,0,20.562179565429688,20.562179565429688,1,5666,0.0,0.0,5666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5662,0,0,0,0.0
22,7886,25,25,1,9.812954902648926,200,9366,8164,18728,0.0,0.0,0.0,0.0,0,0,0,0,8.345452308654785,8.345452308654785,1,4081,0.0,0.0,4083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4080,0,0,0,0.0
23,9588,33,33,1,8.418025016784668,198,7584,5592,15164,0.0,0.0,0.0,0.0,0,0,0,0,5.487754821777344,5.487754821777344,1,2795,0.0,0.0,2797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2794,0,0,0,0.0
24,5356,15,15,1,2.8434133529663086,199,8540,6059,17073,0.004291137151345106,0.004291137151345106,0.0,0.0,26,26,0,0,-0.5102148056030273,-0.5102148056030273,2,3029,0.005282271376691978,0.005282271376691978,3030,0.0033003300330033004,0.0033003300330033004,0.0019819413436886774,0.02108433734939759,0.003127606338615513,0.004296455424274973,0.013043478260869565,0.010344827586206896,0.0033783783783783786,0.0024246622791825423,3001,9,15,1,0.0019828155981493722
25,8247,27,27,1,10.02542781829834,199,6264,6735,12522,0.0,0.0,0.0,0.0,0,0,0,0,5.804376602172852,5.804376602172852,1,3368,0.0,0.0,3367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3365,0,0,0,0.0
26,6763,21,10,0,3.905632972717285,198,5199,4263,10395,0.0,0.0,0.0,0.0,0,0,0,0,2.496096611022949,-9.650167465209961,1,2131,0.0,0.0,2132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130,0,0,0,0.0
27,9763,34,34,1,10.1142578125,188,11118,10666,22220,0.0,0.0,0.0,0.0,0,0,0,0,4.208064079284668,4.208064079284668,1,5329,0.0,0.0,5337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5327,0,0,0,0.0
28,3277,8,8,1,12.609243392944336,197,8101,6772,16192,0.0,0.0,0.0,0.0,0,0,0,0,5.806891441345215,5.806891441345215,1,3386,0.0,0.0,3386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3381,0,0,0,0.0
29,5614,16,16,1,18.208873748779297,200,8463,8311,16888,0.0,0.0,0.0,0.0,0,0,0,0,17.918468475341797,17.918468475341797,1,4156,0.0,0.0,4155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4148,0,0,0,0.0
30,6776,21,21,1,5.469429969787598,198,5738,4476,11468,0.0,0.0,0.0,0.0,0,0,0,0,1.1413078308105469,1.1413078308105469,1,2238,0.0,0.0,2238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2234,0,0,0,0.0
31,8681,28,28,1,8.924102783203125,200,11223,9267,22337,0.0,0.0,0.0,0.0,0,0,0,0,3.085245132446289,3.085245132446289,1,4628,0.0,0.0,4639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4613,0,0,0,0.0
32,6440,20,20,1,25.732065200805664,199,10029,8781,20049,0.0,0.0,0.0,0.0,0,0,0,0,20.89065933227539,20.89065933227539,1,4390,0.0,0.0,4391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4386,0,0,0,0.0
33,9325,32,32,1,6.249759674072266,176,5736,5515,11450,0.0,0.0,0.0,0.0,0,0,0,0,0.08702850341796875,0.08702850341796875,1,2754,0.0,0.0,2761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750,0,0,0,0.0
34,2304,6,6,1,12.186716079711914,199,5558,4436,11108,0.0,0.0,0.0,0.0,0,0,0,0,8.3836669921875,8.3836669921875,1,2218,0.0,0.0,2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2214,0,0,0,0.0
