audit_rank,source_index,label,horizon_steps,input_count,unique_candidates,input_array_sha256
0,7043,22,199,6469,6489,d21adceb5513ee0591f78d71dc7ee8d7dd30f2968b386a4209638c00f84eddde
1,4284,12,199,6284,5653,75e085aaca40102e9384426245773a570e5cd6967f2ecb370e9307eaa5e1d920
2,9407,32,199,9526,8061,a2103103618371ded24587a539e1f10cb5b6cde072828aefd8289301a9d45274
3,5264,14,148,4671,4793,a06b22250b1eb0def1ed0255d08e73321bcb35a421ea22c04cbe8e005e795c12
4,7289,23,199,9429,7984,58abb4cbcab41bb9ae80b0448cfda5cfececb91d58014455b070105596bb811d
5,7340,23,199,10263,8868,46c6b50fd21dfa74357a778e948636e89f9b93207c1c7cb87e9a355974f63cf8
6,314,0,200,8918,8553,e3336062242df2dec5e51531a59b0bc862e8d50a188e3ad74d48be9bfe9917b4
7,8998,30,200,8599,7104,84165e2d7f413787b7644ad8100f2ad005287f072b60773df415009bb94226f4
8,3424,9,200,11190,9967,b64b1047040bbeb6f52e352034dc16323dad3845c83180a55c47bf1703e56dba
9,1755,4,200,7808,7115,3f54a469f158807b1b866d9e5b7f72d9fc82e7d6b77a2c30ea2005c4934487dd
10,1627,4,199,8193,6941,dc7675a736894fa4bf7609b68da192423aa55af8a80e9f1a7575dab289a89ef9
11,1986,5,200,8765,8566,34552de52870cf629ef4cd3acc4069bed2525ec5da4b9d701f750dc12001d630
12,4959,14,200,8853,7958,12f8f142173b122ed971faa099423d7759bf5407ea31549c6f5cb1cf761186fb
13,8189,26,199,5121,6178,05a034af580c32129a7c302fb29b6965c79b64b2e30b79354f9287366b4ca07e
14,6316,19,199,7362,7188,8be2e8229cfcb721a6caf25fe28b1572654ba868f1a413dad75e34a97ca34401
15,8134,26,147,5966,5197,1437345aa4adf0caea0879cd0d811a7c5d6d42806a9361e7ef46539202dee5c3
16,7419,24,200,10609,8310,52ee97aaa9220a662db6078b2843df57011a7f1251f69539df3ae8658815cef7
17,813,2,199,10853,8267,51507f6a26635dfc832ab79bba29de2162cf39754184bb2288b8e0c84e77252e
18,2554,7,200,11224,8818,2ab35637342ec59f7b7f50825c9f2d56c5b02b3a7b6ee83f74b2053ba8b40e39
19,914,2,200,6967,5290,19511487baedaf96c640e81b83a6caae8573f02ecd77bc684cc053611352ae35
20,4499,12,200,8754,8058,37e915dc052e64c99fc888d3a93a6b705cb46a76ecebb011a6812222be94f766
21,5675,16,199,12347,11332,0bdf0ec43b15a23137c7d8458e242ac57c72e29f03b43a2a7dc4dc70e8054be7
22,7886,25,200,9366,8164,4e14695adfd93f69a5d0a7c35b40eaba55ee617c621fcb04a976748709f4cae6
23,9588,33,198,7584,5592,6e7b49122c5019e73973ed44785219c150d8de2e9a2b2b43c5d41fd9e8147ada
24,5356,15,199,8540,6059,9cbbc65e60f79119ed4bfd6f61060b239e97355ae0ad656cf3d62847bcb4b22d
25,8247,27,199,6264,6735,43ff703c44352491d1051a8fa38d4c26b8d3b378b750f7969a5942a515e16698
26,6763,21,198,5199,4263,37f83704dd3d6968034c70358b6257c90494a0516d8834beddaa54bafb93c729
27,9763,34,188,11118,10666,8d355f800ef80b6f8c8f99ea5e20debde32e15b9ae67b48a49655adb93ece236
28,3277,8,197,8101,6772,705629b2e9a0537750026845520bacc7e56d93379949598ec3669984a9866b3d
29,5614,16,200,8463,8311,d845cf1ba4ac4e99b2706d892f2b4f153a6361211ba7a3b55abb49ecc7f82e14
30,6776,21,198,5738,4476,dbf7e159273cc8dffdec6fda892f80bf0f624e591edf9676456a0c5e0e460915
31,8681,28,200,11223,9267,e7e8fe1448ad7df4b4947f9f0a3f62ef535e7b321911c9d5db0e4b8327a73e45
32,6440,20,199,10029,8781,b8f1b04483d5837213903854c53489686c451e2b6e19e19e8e47d711f31a72e2
33,9325,32,176,5736,5515,7e25a51f2fad1dc837917321d252401e4b50ba12ba6b486fc838000f6e1b06c2
34,2304,6,199,5558,4436,5f063bf79bcb81292944ffdae77670a2a45ee95841fec6920b8acdee06f0fc7e
35,4737,13,198,8092,5817,6957f5cd95724333d0923620a9c2230ee2871d6420723730748e02adf588f065
36,5974,18,199,5437,5032,076ae7346055a44830b2c5126010f52d34590d923152f17c6b2e2dbe47b01b13
37,8835,29,199,9819,8725,5df3c512bc6f6ca3e6e5bfe825a123074a447c8a7946ec7bcd9f1ca2c3b164f3
38,18,0,200,8531,8570,7cb233a084ebd28ec8a877dfa10b102b08937abeeed2f5a682806a46627f1edb
39,3083,8,153,4312,4450,d14501d076ada0a10fb038e710fd5d7efaf291e2d0449a27b3fcabed4b981bbc
40,90,0,198,7187,8166,253e69b2b95b179c8527fe170213180d3b67cd985eac1a0e7bc792b82ef8d5af
41,2140,5,199,9118,6785,835bc47303d0920b3f36c8f6d36b5f1ee91d212a73de7f36a693a8476f60e41d
42,9497,33,200,8138,6420,d027d6660bf00e9d7f790fdca45314579366308e8b73c98f8ff9f0c6dfba2672
43,2501,6,186,4439,4095,8cbaf6d65ec7e966183c19acc9b3ba8642bd59a76cbb0885c2840f0bc305a5fd
