source_index,label,clean_prediction,clean_correct,clean_margin,unique_candidates,class_changed_unique,class_change_rate,adverse_unique,adverse_rate,corrective_unique,corrective_rate,lateral_unique,lateral_rate
7043,22,22,1,18.18608856201172,6489,0,0.0,0,0.0,0,0.0,0,0.0
4284,12,12,1,5.544086456298828,5653,11,0.0019458694498496,11,0.0019458694498496,0,0.0,0,0.0
9407,32,32,1,15.144571304321287,8061,0,0.0,0,0.0,0,0.0,0,0.0
5264,14,14,1,0.791987419128418,4793,369,0.0769872731066138,369,0.0769872731066138,0,0.0,0,0.0
7289,23,23,1,4.188239097595215,7984,0,0.0,0,0.0,0,0.0,0,0.0
7340,23,23,1,2.917844772338867,8868,198,0.0223274695534506,198,0.0223274695534506,0,0.0,0,0.0
314,0,0,1,28.56808853149414,8553,0,0.0,0,0.0,0,0.0,0,0.0
8998,30,0,0,0.5855522155761719,7104,5914,0.8324887387387387,0,0.0,0,0.0,5914,0.8324887387387387
3424,9,9,1,19.72491836547852,9967,0,0.0,0,0.0,0,0.0,0,0.0
1755,4,4,1,16.146934509277344,7115,0,0.0,0,0.0,0,0.0,0,0.0
1627,4,4,1,9.019545555114746,6941,1,0.0001440714594438,1,0.0001440714594438,0,0.0,0,0.0
1986,5,5,1,12.258159637451172,8566,0,0.0,0,0.0,0,0.0,0,0.0
4959,14,14,1,9.59066390991211,7958,0,0.0,0,0.0,0,0.0,0,0.0
8189,26,27,0,0.1144046783447265,6178,3545,0.5738102945937197,0,0.0,3545,0.5738102945937197,0,0.0
6316,19,19,1,10.364604949951172,7188,0,0.0,0,0.0,0,0.0,0,0.0
8134,26,21,0,0.3157920837402344,5197,2388,0.4594958629978834,0,0.0,323,0.0621512411006349,2065,0.3973446218972484
7419,24,5,0,3.2653398513793945,8310,0,0.0,0,0.0,0,0.0,0,0.0
813,2,8,0,1.685100555419922,8267,1814,0.219426636022741,0,0.0,145,0.0175396153380912,1669,0.2018870206846498
2554,7,7,1,34.02356719970703,8818,0,0.0,0,0.0,0,0.0,0,0.0
914,2,8,0,9.255582809448242,5290,0,0.0,0,0.0,0,0.0,0,0.0
4499,12,12,1,8.241519927978516,8058,0,0.0,0,0.0,0,0.0,0,0.0
5675,16,16,1,25.690040588378903,11332,0,0.0,0,0.0,0,0.0,0,0.0
7886,25,25,1,9.812954902648926,8164,0,0.0,0,0.0,0,0.0,0,0.0
9588,33,33,1,8.418025016784668,5592,0,0.0,0,0.0,0,0.0,0,0.0
5356,15,15,1,2.8434133529663086,6059,26,0.0042911371513451,26,0.0042911371513451,0,0.0,0,0.0
8247,27,27,1,10.02542781829834,6735,0,0.0,0,0.0,0,0.0,0,0.0
6763,21,10,0,3.905632972717285,4263,0,0.0,0,0.0,0,0.0,0,0.0
9763,34,34,1,10.1142578125,10666,0,0.0,0,0.0,0,0.0,0,0.0
3277,8,8,1,12.609243392944336,6772,0,0.0,0,0.0,0,0.0,0,0.0
5614,16,16,1,18.208873748779297,8311,0,0.0,0,0.0,0,0.0,0,0.0
6776,21,21,1,5.469429969787598,4476,0,0.0,0,0.0,0,0.0,0,0.0
8681,28,28,1,8.924102783203125,9267,0,0.0,0,0.0,0,0.0,0,0.0
6440,20,20,1,25.732065200805664,8781,0,0.0,0,0.0,0,0.0,0,0.0
9325,32,32,1,6.249759674072266,5515,0,0.0,0,0.0,0,0.0,0,0.0
2304,6,6,1,12.186716079711914,4436,0,0.0,0,0.0,0,0.0,0,0.0
4737,13,22,0,0.9571094512939452,5817,693,0.1191335740072202,0,0.0,673,0.1156953756231734,20,0.0034381983840467
5974,18,18,1,6.16596794128418,5032,0,0.0,0,0.0,0,0.0,0,0.0
8835,29,29,1,6.435885429382324,8725,0,0.0,0,0.0,0,0.0,0,0.0
18,0,0,1,11.451509475708008,8570,0,0.0,0,0.0,0,0.0,0,0.0
3083,8,8,1,8.398313522338867,4450,0,0.0,0,0.0,0,0.0,0,0.0
90,0,0,1,23.14375686645508,8166,0,0.0,0,0.0,0,0.0,0,0.0
2140,5,5,1,8.337272644042969,6785,0,0.0,0,0.0,0,0.0,0,0.0
9497,33,33,1,9.262650489807127,6420,0,0.0,0,0.0,0,0.0,0,0.0
2501,6,6,1,12.563587188720703,4095,0,0.0,0,0.0,0,0.0,0,0.0
3505,9,9,1,2.9417505264282227,7743,123,0.0158853157690817,123,0.0158853157690817,0,0.0,0,0.0
4757,13,13,1,0.1901512145996093,5758,1960,0.3403959708232025,1960,0.3403959708232025,0,0.0,0,0.0
5337,15,15,1,15.745081901550291,6632,0,0.0,0,0.0,0,0.0,0,0.0
1252,3,3,1,7.558583259582519,10864,0,0.0,0,0.0,0,0.0,0,0.0
9829,34,34,1,7.948640823364258,8505,0,0.0,0,0.0,0,0.0,0,0.0
6002,18,18,1,11.14287567138672,4202,0,0.0,0,0.0,0,0.0,0,0.0
1534,4,4,1,2.145084381103516,11854,2,0.0001687194196051,2,0.0001687194196051,0,0.0,0,0.0
8525,27,27,1,0.7999763488769531,6749,1571,0.2327752259594014,1571,0.2327752259594014,0,0.0,0,0.0
3223,8,8,1,9.015799522399902,5395,0,0.0,0,0.0,0,0.0,0,0.0
3403,9,9,1,7.980031967163086,7123,0,0.0,0,0.0,0,0.0,0,0.0
5439,15,15,1,8.724538803100586,5975,0,0.0,0,0.0,0,0.0,0,0.0
1199,3,3,1,3.7886362075805664,5527,0,0.0,0,0.0,0,0.0,0,0.0
6432,20,20,1,17.48031997680664,8696,0,0.0,0,0.0,0,0.0,0,0.0
4095,11,4,0,0.2023983001708984,7642,4146,0.542528133996336,0,0.0,4146,0.542528133996336,0,0.0
2444,6,6,1,2.387303352355957,4898,0,0.0,0,0.0,0,0.0,0,0.0
7175,22,13,0,3.155276298522949,5817,0,0.0,0,0.0,0,0.0,0,0.0
597,1,1,1,10.151761054992676,6198,0,0.0,0,0.0,0,0.0,0,0.0
495,1,1,1,4.928595542907715,12014,0,0.0,0,0.0,0,0.0,0,0.0
7164,22,13,0,3.8294153213500977,4668,2,0.0004284490145672,0,0.0,2,0.0004284490145672,0,0.0
522,1,1,1,4.9556169509887695,8046,0,0.0,0,0.0,0,0.0,0,0.0
9549,33,33,1,13.853399276733398,6807,0,0.0,0,0.0,0,0.0,0,0.0
8888,29,29,1,7.021943092346191,5760,0,0.0,0,0.0,0,0.0,0,0.0
4983,14,14,1,0.3297281265258789,8382,709,0.0845860176568838,709,0.0845860176568838,0,0.0,0,0.0
4655,13,13,1,14.53689956665039,7891,0,0.0,0,0.0,0,0.0,0,0.0
9282,31,31,1,2.843317031860352,8217,1,0.0001216989168796,1,0.0001216989168796,0,0.0,0,0.0
3657,10,10,1,6.566354751586914,6992,0,0.0,0,0.0,0,0.0,0,0.0
5662,16,16,1,15.565927505493164,7878,0,0.0,0,0.0,0,0.0,0,0.0
3770,10,10,1,6.08555793762207,5188,0,0.0,0,0.0,0,0.0,0,0.0
5793,17,17,1,14.329487800598145,10442,0,0.0,0,0.0,0,0.0,0,0.0
9389,32,32,1,4.58216667175293,8577,54,0.0062959076600209,54,0.0062959076600209,0,0.0,0,0.0
7504,24,13,0,1.2032294273376465,5462,957,0.1752105455876968,0,0.0,0,0.0,957,0.1752105455876968
6419,20,20,1,32.934547424316406,11596,0,0.0,0,0.0,0,0.0,0,0.0
7267,23,23,1,8.374526023864746,6856,0,0.0,0,0.0,0,0.0,0,0.0
9033,30,30,1,5.233388900756836,7798,0,0.0,0,0.0,0,0.0,0,0.0
5690,17,17,1,13.465560913085938,9860,0,0.0,0,0.0,0,0.0,0,0.0
8836,29,21,0,1.926579475402832,6509,591,0.090797357504993,0,0.0,0,0.0,591,0.090797357504993
901,2,2,1,3.578042984008789,6539,0,0.0,0,0.0,0,0.0,0,0.0
1386,3,3,1,10.880423545837402,7925,0,0.0,0,0.0,0,0.0,0,0.0
4422,12,12,1,8.819358825683594,6132,0,0.0,0,0.0,0,0.0,0,0.0
2091,5,5,1,8.552709579467773,6831,0,0.0,0,0.0,0,0.0,0,0.0
9735,34,34,1,11.758079528808594,6436,0,0.0,0,0.0,0,0.0,0,0.0
8547,27,27,1,10.189599990844728,8673,0,0.0,0,0.0,0,0.0,0,0.0
4050,11,4,0,1.367884635925293,6223,77,0.0123734533183352,0,0.0,23,0.0036959665756066,54,0.0086774867427285
7941,25,25,1,12.74243450164795,9676,0,0.0,0,0.0,0,0.0,0,0.0
3658,10,10,1,2.201087951660156,6567,132,0.0201005025125628,132,0.0201005025125628,0,0.0,0,0.0
2588,7,23,0,1.5828475952148438,6519,493,0.0756250958736002,0,0.0,131,0.0200951066114434,362,0.0555299892621567
6260,19,19,1,15.543002128601074,8802,0,0.0,0,0.0,0,0.0,0,0.0
6713,21,21,1,5.625099182128906,8655,0,0.0,0,0.0,0,0.0,0,0.0
8061,26,26,1,5.444704055786133,6691,0,0.0,0,0.0,0,0.0,0,0.0
9184,31,31,1,6.807913780212402,9187,0,0.0,0,0.0,0,0.0,0,0.0
2601,7,7,1,17.582273483276367,8594,0,0.0,0,0.0,0,0.0,0,0.0
8606,28,28,1,23.855817794799805,4941,0,0.0,0,0.0,0,0.0,0,0.0
9078,30,30,1,12.320735931396484,7025,0,0.0,0,0.0,0,0.0,0,0.0
6254,19,19,1,6.636592864990234,7799,0,0.0,0,0.0,0,0.0,0,0.0
8575,28,28,1,24.426830291748047,5914,0,0.0,0,0.0,0,0.0,0,0.0
6046,18,10,0,1.652658462524414,3633,43,0.0118359482521332,0,0.0,43,0.0118359482521332,0,0.0
